"emoji.chars","emoji.descriptions"
"<U+0001F44B><U+0001F3FF>","waving hand: dark skin tone"
"<U+0001F91A>","raised back of hand"
"<U+0001F91A><U+0001F3FB>","raised back of hand: light skin tone"
"<U+0001F91A><U+0001F3FC>","raised back of hand: medium-light skin tone"
"<U+0001F91A><U+0001F3FD>","raised back of hand: medium skin tone"
"<U+0001F91A><U+0001F3FE>","raised back of hand: medium-dark skin tone"
"<U+0001F91A><U+0001F3FF>","raised back of hand: dark skin tone"
"<U+0001F590><U+FE0F>","hand with fingers splayed"
"<U+0001F590>","hand with fingers splayed"
"<U+0001F590><U+0001F3FB>","hand with fingers splayed: light skin tone"
"<U+0001F590><U+0001F3FC>","hand with fingers splayed: medium-light skin tone"
"<U+0001F590><U+0001F3FD>","hand with fingers splayed: medium skin tone"
"<U+0001F590><U+0001F3FE>","hand with fingers splayed: medium-dark skin tone"
"<U+0001F590><U+0001F3FF>","hand with fingers splayed: dark skin tone"
"<U+270B>","raised hand"
"<U+270B><U+0001F3FB>","raised hand: light skin tone"
"<U+270B><U+0001F3FC>","raised hand: medium-light skin tone"
"<U+270B><U+0001F3FD>","raised hand: medium skin tone"
"<U+270B><U+0001F3FE>","raised hand: medium-dark skin tone"
"<U+270B><U+0001F3FF>","raised hand: dark skin tone"
"<U+0001F596>","vulcan salute"
"<U+0001F596><U+0001F3FB>","vulcan salute: light skin tone"
"<U+0001F596><U+0001F3FC>","vulcan salute: medium-light skin tone"
"<U+0001F596><U+0001F3FD>","vulcan salute: medium skin tone"
"<U+0001F596><U+0001F3FE>","vulcan salute: medium-dark skin tone"
"<U+0001F596><U+0001F3FF>","vulcan salute: dark skin tone"
"<U+0001F44C>","OK hand"
"<U+0001F44C><U+0001F3FB>","OK hand: light skin tone"
"<U+0001F44C><U+0001F3FC>","OK hand: medium-light skin tone"
"<U+0001F44C><U+0001F3FD>","OK hand: medium skin tone"
"<U+0001F44C><U+0001F3FE>","OK hand: medium-dark skin tone"
"<U+0001F44C><U+0001F3FF>","OK hand: dark skin tone"
"<U+0001F90F>","pinching hand"
"<U+0001F90F><U+0001F3FB>","pinching hand: light skin tone"
"<U+0001F90F><U+0001F3FC>","pinching hand: medium-light skin tone"
"<U+0001F90F><U+0001F3FD>","pinching hand: medium skin tone"
"<U+0001F90F><U+0001F3FE>","pinching hand: medium-dark skin tone"
"<U+0001F90F><U+0001F3FF>","pinching hand: dark skin tone"
"<U+270C><U+FE0F>","victory hand"
"<U+270C>","victory hand"
"<U+270C><U+0001F3FB>","victory hand: light skin tone"
"<U+270C><U+0001F3FC>","victory hand: medium-light skin tone"
"<U+270C><U+0001F3FD>","victory hand: medium skin tone"
"<U+270C><U+0001F3FE>","victory hand: medium-dark skin tone"
"<U+270C><U+0001F3FF>","victory hand: dark skin tone"
"<U+0001F91E>","crossed fingers"
"<U+0001F91E><U+0001F3FB>","crossed fingers: light skin tone"
"<U+0001F91E><U+0001F3FC>","crossed fingers: medium-light skin tone"
"<U+0001F91E><U+0001F3FD>","crossed fingers: medium skin tone"
"<U+0001F91E><U+0001F3FE>","crossed fingers: medium-dark skin tone"
"<U+0001F91E><U+0001F3FF>","crossed fingers: dark skin tone"
"<U+0001F91F>","love-you gesture"
"<U+0001F91F><U+0001F3FB>","love-you gesture: light skin tone"
"<U+0001F91F><U+0001F3FC>","love-you gesture: medium-light skin tone"
"<U+0001F91F><U+0001F3FD>","love-you gesture: medium skin tone"
"<U+0001F91F><U+0001F3FE>","love-you gesture: medium-dark skin tone"
"<U+0001F91F><U+0001F3FF>","love-you gesture: dark skin tone"
"<U+0001F918>","sign of the horns"
"<U+0001F918><U+0001F3FB>","sign of the horns: light skin tone"
"<U+0001F918><U+0001F3FC>","sign of the horns: medium-light skin tone"
"<U+0001F918><U+0001F3FD>","sign of the horns: medium skin tone"
"<U+0001F918><U+0001F3FE>","sign of the horns: medium-dark skin tone"
"<U+0001F918><U+0001F3FF>","sign of the horns: dark skin tone"
"<U+0001F919>","call me hand"
"<U+0001F919><U+0001F3FB>","call me hand: light skin tone"
"<U+0001F919><U+0001F3FC>","call me hand: medium-light skin tone"
"<U+0001F919><U+0001F3FD>","call me hand: medium skin tone"
"<U+0001F919><U+0001F3FE>","call me hand: medium-dark skin tone"
"<U+0001F919><U+0001F3FF>","call me hand: dark skin tone"
"<U+0001F448>","backhand index pointing left"
"<U+0001F448><U+0001F3FB>","backhand index pointing left: light skin tone"
"<U+0001F448><U+0001F3FC>","backhand index pointing left: medium-light skin tone"
"<U+0001F448><U+0001F3FD>","backhand index pointing left: medium skin tone"
"<U+0001F448><U+0001F3FE>","backhand index pointing left: medium-dark skin tone"
"<U+0001F448><U+0001F3FF>","backhand index pointing left: dark skin tone"
"<U+0001F449>","backhand index pointing right"
"<U+0001F449><U+0001F3FB>","backhand index pointing right: light skin tone"
"<U+0001F449><U+0001F3FC>","backhand index pointing right: medium-light skin tone"
"<U+0001F449><U+0001F3FD>","backhand index pointing right: medium skin tone"
"<U+0001F449><U+0001F3FE>","backhand index pointing right: medium-dark skin tone"
"<U+0001F449><U+0001F3FF>","backhand index pointing right: dark skin tone"
"<U+0001F446>","backhand index pointing up"
"<U+0001F446><U+0001F3FB>","backhand index pointing up: light skin tone"
"<U+0001F446><U+0001F3FC>","backhand index pointing up: medium-light skin tone"
"<U+0001F446><U+0001F3FD>","backhand index pointing up: medium skin tone"
"<U+0001F446><U+0001F3FE>","backhand index pointing up: medium-dark skin tone"
"<U+0001F446><U+0001F3FF>","backhand index pointing up: dark skin tone"
"<U+0001F595>","middle finger"
"<U+0001F595><U+0001F3FB>","middle finger: light skin tone"
"<U+0001F595><U+0001F3FC>","middle finger: medium-light skin tone"
"<U+0001F595><U+0001F3FD>","middle finger: medium skin tone"
"<U+0001F595><U+0001F3FE>","middle finger: medium-dark skin tone"
"<U+0001F595><U+0001F3FF>","middle finger: dark skin tone"
"<U+0001F447>","backhand index pointing down"
"<U+0001F447><U+0001F3FB>","backhand index pointing down: light skin tone"
"<U+0001F447><U+0001F3FC>","backhand index pointing down: medium-light skin tone"
"<U+0001F447><U+0001F3FD>","backhand index pointing down: medium skin tone"
"<U+0001F447><U+0001F3FE>","backhand index pointing down: medium-dark skin tone"
"<U+0001F447><U+0001F3FF>","backhand index pointing down: dark skin tone"
"<U+261D><U+FE0F>","index pointing up"
"<U+261D>","index pointing up"
"<U+261D><U+0001F3FB>","index pointing up: light skin tone"
"<U+261D><U+0001F3FC>","index pointing up: medium-light skin tone"
"<U+261D><U+0001F3FD>","index pointing up: medium skin tone"
"<U+261D><U+0001F3FE>","index pointing up: medium-dark skin tone"
"<U+261D><U+0001F3FF>","index pointing up: dark skin tone"
"<U+0001F44D>","thumbs up"
"<U+0001F44D><U+0001F3FB>","thumbs up: light skin tone"
"<U+0001F44D><U+0001F3FC>","thumbs up: medium-light skin tone"
"<U+0001F44D><U+0001F3FD>","thumbs up: medium skin tone"
"<U+0001F44D><U+0001F3FE>","thumbs up: medium-dark skin tone"
"<U+0001F44D><U+0001F3FF>","thumbs up: dark skin tone"
"<U+0001F44E>","thumbs down"
"<U+0001F44E><U+0001F3FB>","thumbs down: light skin tone"
"<U+0001F44E><U+0001F3FC>","thumbs down: medium-light skin tone"
"<U+0001F44E><U+0001F3FD>","thumbs down: medium skin tone"
"<U+0001F44E><U+0001F3FE>","thumbs down: medium-dark skin tone"
"<U+0001F44E><U+0001F3FF>","thumbs down: dark skin tone"
"<U+270A>","raised fist"
"<U+270A><U+0001F3FB>","raised fist: light skin tone"
"<U+270A><U+0001F3FC>","raised fist: medium-light skin tone"
"<U+270A><U+0001F3FD>","raised fist: medium skin tone"
"<U+270A><U+0001F3FE>","raised fist: medium-dark skin tone"
"<U+270A><U+0001F3FF>","raised fist: dark skin tone"
"<U+0001F44A>","oncoming fist"
"<U+0001F44A><U+0001F3FB>","oncoming fist: light skin tone"
"<U+0001F44A><U+0001F3FC>","oncoming fist: medium-light skin tone"
"<U+0001F44A><U+0001F3FD>","oncoming fist: medium skin tone"
"<U+0001F44A><U+0001F3FE>","oncoming fist: medium-dark skin tone"
"<U+0001F44A><U+0001F3FF>","oncoming fist: dark skin tone"
"<U+0001F91B>","left-facing fist"
"<U+0001F91B><U+0001F3FB>","left-facing fist: light skin tone"
"<U+0001F91B><U+0001F3FC>","left-facing fist: medium-light skin tone"
"<U+0001F91B><U+0001F3FD>","left-facing fist: medium skin tone"
"<U+0001F91B><U+0001F3FE>","left-facing fist: medium-dark skin tone"
"<U+0001F91B><U+0001F3FF>","left-facing fist: dark skin tone"
"<U+0001F91C>","right-facing fist"
"<U+0001F91C><U+0001F3FB>","right-facing fist: light skin tone"
"<U+0001F91C><U+0001F3FC>","right-facing fist: medium-light skin tone"
"<U+0001F91C><U+0001F3FD>","right-facing fist: medium skin tone"
"<U+0001F91C><U+0001F3FE>","right-facing fist: medium-dark skin tone"
"<U+0001F91C><U+0001F3FF>","right-facing fist: dark skin tone"
"<U+0001F44F>","clapping hands"
"<U+0001F44F><U+0001F3FB>","clapping hands: light skin tone"
"<U+0001F44F><U+0001F3FC>","clapping hands: medium-light skin tone"
"<U+0001F44F><U+0001F3FD>","clapping hands: medium skin tone"
"<U+0001F44F><U+0001F3FE>","clapping hands: medium-dark skin tone"
"<U+0001F44F><U+0001F3FF>","clapping hands: dark skin tone"
"<U+0001F64C>","raising hands"
"<U+0001F64C><U+0001F3FB>","raising hands: light skin tone"
"<U+0001F64C><U+0001F3FC>","raising hands: medium-light skin tone"
"<U+0001F64C><U+0001F3FD>","raising hands: medium skin tone"
"<U+0001F64C><U+0001F3FE>","raising hands: medium-dark skin tone"
"<U+0001F64C><U+0001F3FF>","raising hands: dark skin tone"
"<U+0001F450>","open hands"
"<U+0001F450><U+0001F3FB>","open hands: light skin tone"
"<U+0001F450><U+0001F3FC>","open hands: medium-light skin tone"
"<U+0001F450><U+0001F3FD>","open hands: medium skin tone"
"<U+0001F450><U+0001F3FE>","open hands: medium-dark skin tone"
"<U+0001F450><U+0001F3FF>","open hands: dark skin tone"
"<U+0001F932>","palms up together"
"<U+0001F932><U+0001F3FB>","palms up together: light skin tone"
"<U+0001F932><U+0001F3FC>","palms up together: medium-light skin tone"
"<U+0001F932><U+0001F3FD>","palms up together: medium skin tone"
"<U+0001F932><U+0001F3FE>","palms up together: medium-dark skin tone"
"<U+0001F932><U+0001F3FF>","palms up together: dark skin tone"
"<U+0001F91D>","handshake"
"<U+0001F64F>","folded hands"
"<U+0001F64F><U+0001F3FB>","folded hands: light skin tone"
"<U+0001F64F><U+0001F3FC>","folded hands: medium-light skin tone"
"<U+0001F64F><U+0001F3FD>","folded hands: medium skin tone"
"<U+0001F64F><U+0001F3FE>","folded hands: medium-dark skin tone"
"<U+0001F64F><U+0001F3FF>","folded hands: dark skin tone"
"<U+270D><U+FE0F>","writing hand"
"<U+270D>","writing hand"
"<U+270D><U+0001F3FB>","writing hand: light skin tone"
"<U+270D><U+0001F3FC>","writing hand: medium-light skin tone"
"<U+270D><U+0001F3FD>","writing hand: medium skin tone"
"<U+270D><U+0001F3FE>","writing hand: medium-dark skin tone"
"<U+270D><U+0001F3FF>","writing hand: dark skin tone"
"<U+0001F485>","nail polish"
"<U+0001F485><U+0001F3FB>","nail polish: light skin tone"
"<U+0001F485><U+0001F3FC>","nail polish: medium-light skin tone"
"<U+0001F485><U+0001F3FD>","nail polish: medium skin tone"
"<U+0001F485><U+0001F3FE>","nail polish: medium-dark skin tone"
"<U+0001F485><U+0001F3FF>","nail polish: dark skin tone"
"<U+0001F933>","selfie"
"<U+0001F933><U+0001F3FB>","selfie: light skin tone"
"<U+0001F933><U+0001F3FC>","selfie: medium-light skin tone"
"<U+0001F933><U+0001F3FD>","selfie: medium skin tone"
"<U+0001F933><U+0001F3FE>","selfie: medium-dark skin tone"
"<U+0001F933><U+0001F3FF>","selfie: dark skin tone"
"<U+0001F4AA>","flexed biceps"
"<U+0001F4AA><U+0001F3FB>","flexed biceps: light skin tone"
"<U+0001F4AA><U+0001F3FC>","flexed biceps: medium-light skin tone"
"<U+0001F4AA><U+0001F3FD>","flexed biceps: medium skin tone"
"<U+0001F4AA><U+0001F3FE>","flexed biceps: medium-dark skin tone"
"<U+0001F4AA><U+0001F3FF>","flexed biceps: dark skin tone"
"<U+0001F9BE>","mechanical arm"
"<U+0001F9BF>","mechanical leg"
"<U+0001F9B5>","leg"
"<U+0001F9B5><U+0001F3FB>","leg: light skin tone"
"<U+0001F9B5><U+0001F3FC>","leg: medium-light skin tone"
"<U+0001F9B5><U+0001F3FD>","leg: medium skin tone"
"<U+0001F9B5><U+0001F3FE>","leg: medium-dark skin tone"
"<U+0001F9B5><U+0001F3FF>","leg: dark skin tone"
"<U+0001F9B6>","foot"
"<U+0001F9B6><U+0001F3FB>","foot: light skin tone"
"<U+0001F9B6><U+0001F3FC>","foot: medium-light skin tone"
"<U+0001F9B6><U+0001F3FD>","foot: medium skin tone"
"<U+0001F9B6><U+0001F3FE>","foot: medium-dark skin tone"
"<U+0001F9B6><U+0001F3FF>","foot: dark skin tone"
"<U+0001F442>","ear"
"<U+0001F442><U+0001F3FB>","ear: light skin tone"
"<U+0001F442><U+0001F3FC>","ear: medium-light skin tone"
"<U+0001F442><U+0001F3FD>","ear: medium skin tone"
"<U+0001F442><U+0001F3FE>","ear: medium-dark skin tone"
"<U+0001F442><U+0001F3FF>","ear: dark skin tone"
"<U+0001F9BB>","ear with hearing aid"
"<U+0001F9BB><U+0001F3FB>","ear with hearing aid: light skin tone"
"<U+0001F9BB><U+0001F3FC>","ear with hearing aid: medium-light skin tone"
"<U+0001F9BB><U+0001F3FD>","ear with hearing aid: medium skin tone"
"<U+0001F9BB><U+0001F3FE>","ear with hearing aid: medium-dark skin tone"
"<U+0001F9BB><U+0001F3FF>","ear with hearing aid: dark skin tone"
"<U+0001F443>","nose"
"<U+0001F443><U+0001F3FB>","nose: light skin tone"
"<U+0001F443><U+0001F3FC>","nose: medium-light skin tone"
"<U+0001F443><U+0001F3FD>","nose: medium skin tone"
"<U+0001F443><U+0001F3FE>","nose: medium-dark skin tone"
"<U+0001F443><U+0001F3FF>","nose: dark skin tone"
"<U+0001F9E0>","brain"
"<U+0001F9B7>","tooth"
"<U+0001F9B4>","bone"
"<U+0001F440>","eyes"
"<U+0001F441><U+FE0F>","eye"
"<U+0001F441>","eye"
"<U+0001F445>","tongue"
"<U+0001F444>","mouth"
"<U+0001F476>","baby"
"<U+0001F476><U+0001F3FB>","baby: light skin tone"
"<U+0001F476><U+0001F3FC>","baby: medium-light skin tone"
"<U+0001F476><U+0001F3FD>","baby: medium skin tone"
"<U+0001F476><U+0001F3FE>","baby: medium-dark skin tone"
"<U+0001F476><U+0001F3FF>","baby: dark skin tone"
"<U+0001F9D2>","child"
"<U+0001F9D2><U+0001F3FB>","child: light skin tone"
"<U+0001F9D2><U+0001F3FC>","child: medium-light skin tone"
"<U+0001F9D2><U+0001F3FD>","child: medium skin tone"
"<U+0001F9D2><U+0001F3FE>","child: medium-dark skin tone"
"<U+0001F9D2><U+0001F3FF>","child: dark skin tone"
"<U+0001F466>","boy"
"<U+0001F466><U+0001F3FB>","boy: light skin tone"
"<U+0001F466><U+0001F3FC>","boy: medium-light skin tone"
"<U+0001F466><U+0001F3FD>","boy: medium skin tone"
"<U+0001F466><U+0001F3FE>","boy: medium-dark skin tone"
"<U+0001F466><U+0001F3FF>","boy: dark skin tone"
"<U+0001F467>","girl"
"<U+0001F467><U+0001F3FB>","girl: light skin tone"
"<U+0001F467><U+0001F3FC>","girl: medium-light skin tone"
"<U+0001F467><U+0001F3FD>","girl: medium skin tone"
"<U+0001F467><U+0001F3FE>","girl: medium-dark skin tone"
"<U+0001F467><U+0001F3FF>","girl: dark skin tone"
"<U+0001F9D1>","person"
"<U+0001F9D1><U+0001F3FB>","person: light skin tone"
"<U+0001F9D1><U+0001F3FC>","person: medium-light skin tone"
"<U+0001F9D1><U+0001F3FD>","person: medium skin tone"
"<U+0001F9D1><U+0001F3FE>","person: medium-dark skin tone"
"<U+0001F9D1><U+0001F3FF>","person: dark skin tone"
"<U+0001F471>","person: blond hair"
"<U+0001F471><U+0001F3FB>","person: light skin tone, blond hair"
"<U+0001F471><U+0001F3FC>","person: medium-light skin tone, blond hair"
"<U+0001F471><U+0001F3FD>","person: medium skin tone, blond hair"
"<U+0001F471><U+0001F3FE>","person: medium-dark skin tone, blond hair"
"<U+0001F471><U+0001F3FF>","person: dark skin tone, blond hair"
"<U+0001F468>","man"
"<U+0001F468><U+0001F3FB>","man: light skin tone"
"<U+0001F468><U+0001F3FC>","man: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","man: medium skin tone"
"<U+0001F468><U+0001F3FE>","man: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","man: dark skin tone"
"<U+0001F9D4>","man: beard"
"<U+0001F9D4><U+0001F3FB>","man: light skin tone, beard"
"<U+0001F9D4><U+0001F3FC>","man: medium-light skin tone, beard"
"<U+0001F9D4><U+0001F3FD>","man: medium skin tone, beard"
"<U+0001F9D4><U+0001F3FE>","man: medium-dark skin tone, beard"
"<U+0001F9D4><U+0001F3FF>","man: dark skin tone, beard"
"<U+0001F471><U+200D>","<U+2642><U+FE0F> man: blond hair"
"<U+0001F471><U+200D>","<U+2642> man: blond hair"
"<U+0001F471><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man: light skin tone, blond hair"
"<U+0001F471><U+0001F3FB>","<U+200D><U+2642> man: light skin tone, blond hair"
"<U+0001F471><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man: medium-light skin tone, blond hair"
"<U+0001F471><U+0001F3FC>","<U+200D><U+2642> man: medium-light skin tone, blond hair"
"<U+0001F471><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man: medium skin tone, blond hair"
"<U+0001F471><U+0001F3FD>","<U+200D><U+2642> man: medium skin tone, blond hair"
"<U+0001F471><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man: medium-dark skin tone, blond hair"
"<U+0001F471><U+0001F3FE>","<U+200D><U+2642> man: medium-dark skin tone, blond hair"
"<U+0001F471><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man: dark skin tone, blond hair"
"<U+0001F471><U+0001F3FF>","<U+200D><U+2642> man: dark skin tone, blond hair"
"<U+0001F468><U+200D>","<U+0001F9B0> man: red hair"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F9B0> man: light skin tone, red hair"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F9B0> man: medium-light skin tone, red hair"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F9B0> man: medium skin tone, red hair"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F9B0> man: medium-dark skin tone, red hair"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F9B0> man: dark skin tone, red hair"
"<U+0001F468><U+200D>","<U+0001F9B1> man: curly hair"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F9B1> man: light skin tone, curly hair"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F9B1> man: medium-light skin tone, curly hair"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F9B1> man: medium skin tone, curly hair"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F9B1> man: medium-dark skin tone, curly hair"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F9B1> man: dark skin tone, curly hair"
"<U+0001F468><U+200D>","<U+0001F9B3> man: white hair"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F9B3> man: light skin tone, white hair"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F9B3> man: medium-light skin tone, white hair"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F9B3> man: medium skin tone, white hair"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F9B3> man: medium-dark skin tone, white hair"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F9B3> man: dark skin tone, white hair"
"<U+0001F468><U+200D>","<U+0001F9B2> man: bald"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F9B2> man: light skin tone, bald"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F9B2> man: medium-light skin tone, bald"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F9B2> man: medium skin tone, bald"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F9B2> man: medium-dark skin tone, bald"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F9B2> man: dark skin tone, bald"
"<U+0001F469>","woman"
"<U+0001F469><U+0001F3FB>","woman: light skin tone"
"<U+0001F469><U+0001F3FC>","woman: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","woman: medium skin tone"
"<U+0001F469><U+0001F3FE>","woman: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","woman: dark skin tone"
"<U+0001F471><U+200D>","<U+2640><U+FE0F> woman: blond hair"
"<U+0001F471><U+200D>","<U+2640> woman: blond hair"
"<U+0001F471><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman: light skin tone, blond hair"
"<U+0001F471><U+0001F3FB>","<U+200D><U+2640> woman: light skin tone, blond hair"
"<U+0001F471><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman: medium-light skin tone, blond hair"
"<U+0001F471><U+0001F3FC>","<U+200D><U+2640> woman: medium-light skin tone, blond hair"
"<U+0001F471><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman: medium skin tone, blond hair"
